Reaction	EC-Number	Object ID
NADPH + H2O  ->  NADH + phosphate	EC-3.1.3.108	RXN-7703
propene + NADH + dioxygen + H+  ->  (R)-1,2-epoxypropane + NAD+ + H2O	EC-1.14.13.69	1.14.13.69-RXN
pyrazole + L-serine  =  3-(pyrazol-1-yl)-L-alanine + H2O	EC-4.2.1.50	PYRAZOLYLALANINE-SYNTHASE-RXN
2 decanoyl-CoA + H2O  ->  (2R)-2-octyl-3-oxododecanoate + 2 coenzyme A + H+	EC-2.3.3.20	RXN-18567
4 ATP + patellamide A precursor peptide (PatE)  ->  4 ADP + patellamide A precursor peptide containing azoline residues + 4 phosphate + 4 H+	EC-6.2.2.2	RXN-21195
3'-dehydrolactose + H2O  ->  3-dehydro-D-galactopyranose + D-glucopyranose	EC-3.2.1	KETOLACTOSE-RXN
dihydrobenzophananthridine oxidase	EC-1.5.3.12	RXN-15542
UDP-alpha-D-glucose + (R)-prunasin  ->  (R)-amygdalin + UDP + H+	EC-2.4.1	RXN-18094
(S)-malate + an electron-transfer quinone[inner membrane]  <-->  oxaloacetate + an electron-transfer quinol[inner membrane]	EC-1.1.5.4	MALATE-DEHYDROGENASE-ACCEPTOR-RXN
N-glycolyl-alpha-neuraminate  <-->  N-glycolyl-beta-neuraminate	EC-5.1.3.24	RXN-22513
L-methionine + acetyl-CoA  ->  N-acetyl-L-methionine + coenzyme A + H+	EC-2.3.1.1	RXN0-6948
beta-amyrin + 3 a reduced [NADPH-hemoprotein reductase] + 3 dioxygen  ->  oleanolate + 3 an oxidized [NADPH-hemoprotein reductase] + 4 H2O + H+	EC-1.14.14.126	RXN-13509
(2E,6E)-farnesyl diphosphate + 2-methyl-4-hydroxyquinoline  ->  aurachin D + diphosphate	EC-2.5.1	RXN-15022
(-)-ent-copalyl diphosphate  ->  ent-sandaracopimaradiene + diphosphate	EC-4.2.3.29	RXN-4884
3-chlorobenzoate 1,2-dioxygenase	EC-1.14.12	RXN-9872
3 S-adenosyl-L-methionine + a [histone H4]-L-lysine-20  ->  3 S-adenosyl-L-homocysteine + a [histone H4] N6,N6,N6-trimethyl-L-lysine-20 + 3 H+	EC-2.1.1.372	RXN-21597
phenyl-N-(sulfonatooxy)methanimidothioate  ->  phenylacetonitrile + sulfate + sulfur(0)	EC-4.8.1.e	RXN-12025
a [histone H3] N6-methyl-L-lysine-27 + 2-oxoglutarate + dioxygen  ->  a [histone H3]-L-lysine-27 + formaldehyde + succinate + CO2		RXN-20636
yaequinolone E + prenyl diphosphate  ->  (4E)-2-methyl-6-methylidenenona-2,4-dienyl-quinolinone B + diphosphate		RXN-23356
3 S-adenosyl-L-methionine + a [histone H3]-L-lysine-79  ->  3 S-adenosyl-L-homocysteine + a [histone H3] N6,N6,N6-trimethyl-L-lysine-79 + 3 H+	EC-2.1.1.360	RXN-20620
ATP + N2-formyl-N1-(5-phospho-beta-D-ribosyl)glycinamide + L-glutamine + H2O  ->  L-glutamate + ADP + 2-(formamido)-N1-(5-phospho-beta-D-ribosyl)acetamidine + phosphate + H+	EC-6.3.5.3	FGAMSYN-RXN
isoprene + NADH + dioxygen + H+  ->  (3R)-3,4-epoxy-3-methylbut-1-ene + NAD+ + H2O	EC-1.14.13.69	RXN-17591
a 3beta-hydroxy-4,4-dimethylsteroid + NADH + dioxygen + H+  ->  a 3beta-hydroxy-4beta-hydroxymethyl-4alpha-methylsteroid + NAD+ + H2O		RXN-20106
pyruvate + acetaldehyde + H+  ->  acetoin + CO2		RXN0-2022
(3E,5R)-5-carboxy-2-oxohept-3-enedioate + H+  =  (2Z,4Z)-2-hydroxyhepta-2,4-dienedioate + CO2		CARBOXY-OXOHEPT-ENEDIOATE-DECARBOXY-RXN
a polycistronic tRNA precursor  ->  a 5'-half-tRNA molecule with a 2',3'-cyclic phosphate end + a 3'-half-tRNA molecule with a 5'-OH end + a tRNA intron with a 2',3'-cyclic phosphate and a 5'-hydroxyl terminus	EC-4.6.1.16	3.1.27.9-RXN
a 1-alkanal + NADP+  =  an alk-2-enal + NADPH + H+	EC-1.3.1.102	RXN-14535
geranyl diphosphate + H2O  ->  geranyl monophosphate + phosphate + H+	EC-3.6.1.68	RXN-17104
harmalol + a methylated methyl donor  ->  harmaline + a demethylated methyl donor		RXN-9317
lipid II flippase (<i>L. lactis</i>)		TRANS-RXN-486
3-methyl-2-[(E)-[(3S,4R,5R)-3,4,5,6-tetrahydroxy-2-oxohexylidene]amino]butanoate + H2O + H+  ->  D-glucosone + L-valine		RXN-22789
skatole + dioxygen + H2O  ->  indole-3-carbinol + hydrogen peroxide	EC-1.13.99.3	RXN-21811
AMP + phosphate  ->  adenine + alpha-D-ribose 1,5-bisphosphate	EC-2.4.2.57	RXN-8800
S-sulfanylglutathione + dioxygen + H2O  ->  glutathione + sulfite + 2 H+	EC-1.13.11.18	RXN-13161
S-adenosyl-L-methionine + L-selenocysteine  ->  Se-methyl-L-selenocysteine + S-adenosyl-L-homocysteine + H+	EC-2.1.1.280	RXN-11061
a protopanaxatriol-type ginsenoside with two glycosyl residues at position 6 + 2 H2O  ->  a protopanaxatriol-type ginsenoside with no glycosidic modification at position 6 + a monosaccharide + D-glucopyranose	EC-3.2.1.194	RXN-14580
P. gingivalis Kdo2-lipid A (penta-acylated, bis-phosphorylated) + CDP-glycerol  ->  P. gingivalis phosphoglycerol-lipid A (penta-acylated) + CMP + H+	EC-2.7.8	RXN-22255
choline + 2 dioxygen + H2O  ->  glycine betaine + 2 hydrogen peroxide + H+	EC-1.1.3.17	RXN-13178
UDP-alpha-D-glucose + a hydroxyanthraquinone  ->  UDP + a glucosyloxyanthraquinone	EC-2.4.1.181	2.4.1.181-RXN
a (2S)-2-methylacyl-CoA  <-->  a (2R)-2-methylacyl-CoA	EC-5.1.99.4	5.1.99.4-RXN
ginsenoside Rb2 + 2 H2O  ->  ginsenoside C-Y + 2 D-glucopyranose	EC-3.2.1.191 // EC-3.2.1.z	RXN-14600
(2Z,6Z)-farnesyl diphosphate  ->  (+)-alpha-santalene + diphosphate	EC-4.2.3.50	RXN-10567
L-cysteine + a [molybdopterin synthase sulfurtransferase]-L-cysteine  ->  L-alanine + a [molybdopterin synthase sulfurtransferase]-S-sulfanyl-L-cysteine	EC-2.8.1.7	RXN-22698
S-sulfinatoglutathione + H2O  ->  glutathione + sulfite + H+		RXN-16574
acetol monooxygenase	EC-1.14.13.M34	RXN-8633
streptomycin 6-phosphate + H2O  ->  streptomycin + phosphate	EC-3.1.3.39	STREPTOMYCIN-6-PHOSPHATASE-RXN
D-myo-inositol (1,4,5)-trisphosphate + 2 ATP  ->  D-myo-inositol 1,3,4,5,6-pentakisphosphate + 2 ADP + 2 H+	EC-2.7.1.151	RXN-13197
2 L-arginine + 2 a reduced flavodoxin + 2 dioxygen  ->  2 Nomega-hydroxy-L-arginine + 2 an oxidized flavodoxin + 2 H2O		RXN-13566
acetyl-andilesin A  ->  andilesin B + acetate + H+		RXN-16091
molybdopterin adenine dinucleotide + molybdate + H+  ->  AMP + MoO2-molybdopterin cofactor + H2O	EC-2.10.1.1	RXN-8348
a 1-phosphatidyl-1D-myo-inositol + (4R)-4-hydroxy-N-[(2R)-2-hydroxy-very-long-chain-acyl]-1-O-{[6-O-(alpha-D-mannosyl)-1D-myo-inositol-1-O-yl]hydroxyphosphoryl}sphinganine  ->  (4R)-4-hydroxy-N-[(2R)-2-hydroxy-very-long-chain-acyl]-1-O-[hydroxy(6-O-{6-O-[(1D-myo-inositol-1-O-yl)phosphoryl]-alpha-D-mannosyl}-1D-myo-inositol-1-O-yl)hydroxyphosphoryl]sphinganine + a 1,2-diacyl-sn-glycerol	EC-2.7.1.228	RXN3O-680
3-oxo-3-phenylpropanoate + ATP + coenzyme A  ->  3-oxo-3-phenylpropanoyl-CoA + AMP + diphosphate		RXN-1304
an aequorin 1,2-dioxetan-3-one  ->  an excited state blue fluorescent protein + CO2		RXN-18862
(2R,3S)-3-methylmalate + NAD+  ->  2-oxobutanoate + CO2 + NADH	EC-1.1.1	RXN-7745
2 a reduced c-type cytochrome[periplasm] + 2 nitric oxide[periplasm] + 2 H+[periplasm]  ->  nitrous oxide[periplasm] + 2 an oxidized c-type cytochrome[periplasm] + H2O[periplasm]	EC-1.7.2.5	NITRIC-OXIDE-REDUCTASE-RXN
7alpha-hydroxycholest-4-en-3-one + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  7alpha,12alpha-dihydroxycholest-4-en-3-one + an oxidized [NADPH-hemoprotein reductase] + H2O	EC-1.14.14.139	1.14.13.95-RXN
dibenzothiophene + 2 FMNH2 + 2 dioxygen  =  dibenzothiophene-5,5-dioxide + 2 FMN + 2 H2O + 2 H+	EC-1.14.14.21	RXN-17496
L-proline + NAD(P)+  <-  (S)-1-pyrroline-5-carboxylate + NAD(P)H + 2 H+	EC-1.5.1.2	PYRROLINECARBREDUCT-RXN
D-erythronate + NAD+  ->  2-dehydro-D-erythronate + NADH + H+	EC-1.1.1.410	RXN-18591
N-demethyllincomycin mercapturate + H2O  ->  N-demethyllincomycin-S-cysteine conjugate + acetate		RXN-21217
carbon disulfide + 2 H2O  =  CO2 + 2 hydrogen sulfide	EC-3.13.1.5	RXN-14638
L-fuconate  ->  2-dehydro-3-deoxy-L-fuconate + H2O	EC-4.2.1.68	L-FUCONATE-HYDRATASE-RXN
a [HECT-type E3 ubiquitin transferase]-S-ubiquitinyl-L-cysteine + a [protein]-L-lysine  ->  a [HECT-type E3 ubiquitin transferase]-L-cysteine + a [protein]-N6-monoubiquitinyl-L-lysine + H+	EC-2.3.2.26	RXN-15560
medermycin + FMNH2 + dioxygen  ->  mederrhodin A + FMN + H2O + H+	EC-1.14.14	RXN-18117
GDP-4-dehydro-alpha-D-rhamnose + L-glutamate  =  GDP-4-dehydro-3,6-dideoxy-alpha-D-mannose + 2-oxoglutarate + ammonium	EC-4.2.1.168	RXN-17514
4 porphobilinogen + H2O  ->  preuroporphyrinogen + 4 ammonium	EC-2.5.1.61	OHMETHYLBILANESYN-RXN
S-adenosyl-L-methionine + 1-(3,4-dihydroxyphenyl)-5-hydroxy-3-decanone  ->  6-gingerol + S-adenosyl-L-homocysteine + H+	EC-2.1.1	RXN-12527
beta-myrcene + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (4R)-(-)-ipsdienol + an oxidized [NADPH-hemoprotein reductase] + H2O	EC-1.14.14.31	RXN-15040
2-methylpropanenitrile + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  2-hydroxy-2-methylpropanenitrile + an oxidized [NADPH-hemoprotein reductase] + H2O		RXN-5082
8-oxo-dGTP + 2 H2O  ->  8-oxo-dGMP + 2 phosphate + 2 H+		RXN-14205
2,3,5-trichloro-cis,cis-muconate + H+  ->  2-chloro-2-(2,4-dichloro-5-oxofuran-2-yl)acetate	EC-5.5.1	RXN-9889
UDP-glucose glucosyl-3-phosphoglycerate synthase	EC-2.4.1.266	RXN-12041
dimethyl sulfide[out] + 2 an oxidized cytochrome c2[in] + H2O[out]  ->  dimethyl sulfoxide[out] + 2 a reduced cytochrome c2[in] + 2 H+[out]	EC-1.8.2.4	RXN-9763
a purine 2'-deoxyribonucleoside + H2O  ->  a purine base + 2-deoxy-D-ribose	EC-3.2.2.M2	RXN-20658
an N-(1-deoxy-D-fructos-1-yl)amine + dioxygen + H2O + H+  ->  (1-deoxy-D-fructos-1-yl)amine + an aldehyde + hydrogen peroxide	EC-1.5.3.26	RXN-22786
15-dehydro-13,14-dihydro-prostaglandin F2alpha + NADP+  <-  15-dehydro-prostaglandin F2alpha + NADPH + H+	EC-1.3.1.48	RXN-23392
D-galactosamine 6-phosphate  <-->  alpha-D-galactosamine-1-phosphate	EC-5.4.2.13	RXN-19879
a tetrahydrofolate + ATP + formate  ->  an N10-formyltetrahydrofolate + ADP + phosphate	EC-6.3.4.3	FORMATETHFLIG-RXN
tert-butoxymethanol  ->  tert-butyl alcohol + formaldehyde		RXN-17611
3-phospho-D-glyceroyl phosphate  ->  2,3-diphospho-D-glycerate + H+	EC-5.4.2.4	BISPHOSPHOGLYCERATE-MUTASE-RXN
S-adenosyl-L-methionine + carnosine  ->  S-adenosyl-L-homocysteine + anserine + H+	EC-2.1.1.22	CARNOSINE-N-METHYLTRANSFERASE-RXN
a generic polynucleotide substrate + H2O  ->  a 5'-phosphomononucleotide + a 5'-phosphooligonucleotide	EC-3.1.30.1	3.1.30.1-RXN
meso-diaminopimelate + NADP+  =  (S)-2,3,4,5-tetrahydrodipicolinate + ammonium + NADPH + 2 H+		RXN-14246
palmitoyl-CoA + a [protein]-L-cysteine  ->  a [protein]-S-palmitoyl-L-cysteine + coenzyme A	EC-2.3.1.225	RXN-14554
ammonium + hydrogencarbonate + ATP  <-->  carbamoyl phosphate + ADP + H2O + H+	EC-2.7.2.2	CARBAMATE-KINASE-RXN
S-adenosyl-L-methionine + 5-methoxybenzimidazole  ->  5-methoxy-6-methylbenzimidazole + S-adenosyl-L-homocysteine + H+	EC-2.1.1.M10	RXN-17124
ubiquinol-10 + an oxidized electron carrier  =  ubiquinone-10 + a reduced two electron carrier		RXN-9348
ATP + 2 H2O  ->  AMP + 2 phosphate + 2 H+	EC-3.6.1.5	APYRASE-RXN
GTP + AMP  <-->  GDP + ADP	EC-2.7.4.4	RXN-14074
palatinose + an oxidized electron carrier  ->  3'-ketopalatinose + a reduced two electron carrier	EC-1.1.99.13	RXN-22808
2-hydroxy-5-methylquinone + NADH + 2 H+  ->  2,4,5-trihydroxytoluene + NAD+		RXN-8822
1-aminocyclopropane-1-carboxylate + H2O  ->  ammonium + 2-oxobutanoate	EC-3.5.99.7	4.1.99.4-RXN
trans,octacis-decaprenylphospho-beta-D-ribofuranose 5-phosphate + H2O  ->  trans,octacis-decaprenylphospho-beta-D-ribofuranose + phosphate		RXN-11079
3-[(4'-methylsulfanyl)butyl]malate + NAD+  ->  7-(methylsulfanyl)-2-oxoheptanoate + CO2 + NADH	EC-1.1.1.85	RXNQT-4168
glutathione + methylmercury  ->  methylmercury-S-glutatione + H+	EC-2.5.1.18	RXN-19601
resolvin D2 + NAD+  ->  16-dehydro-resolvin D2 + NADH + H+	EC-1.1.1.141	RXN-22271
a donor xyloglucan + an acceptor xyloglucan  =  a donor Xyloglucan with cleaved xyloglucanyl segment + an acceptor xyloglucan with xyloglucanyl segment	EC-2.4.1.207	2.4.1.207-RXN
geranylgeranyl diphosphate  ->  (-)-ent-copalyl diphosphate	EC-5.5.1.13	5.5.1.13-RXN
UDP-alpha-D-glucuronate + beta-D-glucuronosyl-(1->4)-alpha-D-glucosyl-(C55 omega-saturated dolichyl phosphate)  ->  UDP + beta-D-glucuronosyl-(1->4)-beta-D-glucuronosyl-(1->4)-alpha-D-glucosyl-(C55 omega-saturated dolichyl phosphate) + H+	EC-2.4.1	RXN-16598
L-dihomomethionine + 2 a reduced [NADPH-hemoprotein reductase] + 2 dioxygen  ->  (E)-5-(methylsulfanyl)pentanal oxime + CO2 + 2 an oxidized [NADPH-hemoprotein reductase] + 3 H2O	EC-1.14.14.42	RXNQT-4309
a 1H-pyrrole-2-carbonyl-[PltL prolyl-carrier protein] + chloride + FADH2 + dioxygen  ->  a 5-chloro-1H-pyrrole-2-carbonyl-[PltL prolyl-carrier protein] + FAD + 2 H2O		RXN-19081
sucrose 6F-phosphate + H2O  ->  sucrose + phosphate	EC-3.1.3.24	SUCROSE-PHOSPHATASE-RXN
taxiphyllin + H2O  ->  4-hydroxybenzaldehyde + hydrogen cyanide + D-glucopyranose	EC-4.1.2	RXN-13600
3-hydroxy-L-kynurenine + glyoxylate  ->  xanthurenate + glycine + H2O	EC-2.6.1.63	RXN-21999
1-18:2-2-18:3-monogalactosyldiacylglycerol + 2 a reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:3-2-18:3-monogalactosyldiacylglycerol + 2 an oxidized ferredoxin [iron-sulfur] cluster + 2 H2O	EC-1.14.19.35	RXN-8368
CDP-N-methylethanolamine + a 1,2-diacyl-sn-glycerol  ->  a phosphatidyl-N-methylethanolamine + CMP + H+	EC-2.7.8	RXN4FS-1
UDP-alpha-D-glucuronate + L-thyroxine  ->  L-thyroxine acyl beta-D-glucuronide + UDP + H+	EC-2.4.1.17	RXN-10608
4-methylaminobutanoate + dioxygen + H2O  ->  4-aminobutanoate + formaldehyde + hydrogen peroxide	EC-1.5.3.19	RXN-13067
GDP-alpha-D-mannose  ->  GDP-beta-L-gulose	EC-5.1.3.18	RXN-7771
hydrogen peroxide[periplasm] + a menaquinol[inner membrane]  ->  a menaquinone[inner membrane] + 2 H2O[periplasm]	EC-1.11.1	RXN-19020
7-O-methylluteone + NADPH + dioxygen + H+  ->  7-O-methylluteone epoxide + NADP+ + H2O	EC-1.14.99.34	1.14.99.34-RXN
L-aspartate + glycerone phosphate + dioxygen  ->  quinolinate + hydrogen peroxide + phosphate + H+ + 2 H2O		QUINOLINATE-SYNTHE-MULTI-RXN
15-cis-phytoene + 4 an oxidized electron carrier  ->  all-trans-lycopene + 4 a reduced two electron carrier	EC-1.3.99.31	RXN-12414
[(3S,4R)-4-(6-methylheptanoyl)-5-oxooxolan-3-yl]methyl phosphate + NADP+  <-  [4-(6-methylheptanoyl)-5-oxo-2H-furan-3-yl]methyl phosphate + NADPH + H+	EC-1.3.1.113	RXN-18612
(2-amino-4-deoxy-chorismate-forming)	EC-2.6.1.123	RXN-22440
a 2-methylthiocytosine32 in tRNA + 2-oxoglutarate + dioxygen  ->  a 2-thiocytosine32 in tRNA + formaldehyde + succinate + CO2	EC-1.14.11	RXN-21236
Delta1-dihydrotestosterone + an oxidized electron carrier + H2O  ->  17-hydroxyandrostan-1,3-dione + a reduced two electron carrier	EC-1.17.99.11	RXN-21495
L-rhamnofuranose + NAD+  <-->  L-rhamnono-1,4-lactone + NADH + H+	EC-1.1.1.173	L-RHAMNOSE-1-DEHYDROGENASE-RXN
(E)-caffeoyl-CoA + H2O  ->  3,4-dihydroxybenzaldehyde + acetyl-CoA	EC-4.1.2.61	RXN-21005
flaviolin + NADH + H+ + dioxygen  ->  mompain + NAD+ + H2O	EC-1.14.13	RXN-15585
(-)-8-demethylmaritidine + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  vittatine + an oxidized [NADPH-hemoprotein reductase] + 2 H2O	EC-1.14.19	RXN-18136
UDP-N-acetyl-alpha-D-muramate + L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine + ATP  ->  UDP-MurNAc-L-Ala-gamma-D-Glu-meso-DAP-D-Ala + ADP + phosphate + H+	EC-6.3.2.45	RXN0-7022
carbamoyl phosphate + tobramycin + ATP + H2O  ->  nebramycin 5' + AMP + diphosphate + phosphate + H+	EC-6.1.2.2	RXN-15284
palmitoyl-CoA + all-trans-retinol  ->  all-trans-retinyl palmitate + coenzyme A	EC-2.3.1.76	RXN-12547
3-methyl-2-oxobutanoate + coenzyme A + NAD+  ->  isobutanoyl-CoA + CO2 + NADH	EC-1.2.1.25	1.2.1.25-RXN
mycinamicin IV + NADPH + dioxygen + H+  ->  mycinamicin I + NADP+ + H2O	EC-1.14.13	RXN-15057
L-tryptophan + H2O  ->  indole + pyruvate + ammonium	EC-4.1.99.1	TRYPTOPHAN-RXN
geranyl diphosphate  ->  (-)-beta-phellandrene + diphosphate	EC-4.2.3.52	RXN-5143
3-chlorotoluene + NADH + dioxygen + H+  ->  (1R,2S)-5-chloro-3-methylcyclohexa-3,5-diene-1,2-diol + NAD+	EC-1.14.12.26	RXN-9906
2 formaldehyde + H2O  ->  methanol + formate + H+	EC-1.2.98.1	RXN-11453
guanosine 2',3'-cyclic monophosphate + H2O  ->  guanosine 2'-monophosphate + H+	EC-3.1.4.37	RXN-12058
3-deoxy-D-arabino-heptulopyranuronate 7-phosphate  ->  3-dehydroquinate + phosphate		RXN-20674
prostaglandin E2 + NADP+  ->  prostaglandin K2 + NADPH + H+		RXN-23409
a methanofuran + 5-formyl-tetrahydrosarcinapterin  <-->  a formylmethanofuran + tetrahydrosarcinapterin + H+	EC-2.3.1.101	FTRMBARK-RXN
Nomega-methyl-L-arginine + 2 NADH + 3 dioxygen + H+  ->  Ndelta-hydroxy-Nomega-methyl-Nomega'-nitroso-L-citrulline + 2 NAD+ + 3 H2O	EC-1.14.13.250	RXN-22538
methylglyoxal + a [protein]-L-lysine  ->  an N6-(1-hydroxy-2-oxopropyl)-[protein]-L-lysine + H+		RXN-17631
a [protein] S-acyl-L-cysteine + coenzyme A  ->  a [protein]-L-cysteine + an acyl-CoA		RXN-20152
ATP + CDP  ->  ADP + CTP	EC-2.7.4.6	CDPKIN-RXN
sn-glycero-3-phospho-1-inositol + H2O  ->  myo-inositol + sn-glycerol 3-phosphate + H+	EC-3.1.4.44	3.1.4.44-RXN
(3R)-4-(2-aminophenyl)-3-hydroxy-2,4-dioxobutanoate  ->  3-hydroxykynurenate + H2O		RXN-17151
a [histone H3] N6,N6,N6-trimethyl-L-lysine-27 + 2 2-oxoglutarate + 2 dioxygen  ->  a [histone H3] N6-methyl-L-lysine-27 + 2 formaldehyde + 2 succinate + 2 CO2	EC-1.14.11.68	RXN-20640
(6E)-8-hydroxygeraniol + NADP+  ->  (6E)-8-hydroxygeranial + NADPH + H+		RXN-9367
L-methionine + H2O  ->  methanethiol + 2-oxobutanoate + ammonium	EC-4.4.1.11	METHIONINE-GAMMA-LYASE-RXN
mycosporine glycine + L-serine + ATP  =  shinorine + AMP + diphosphate + 2 H+	EC-6.3.2	RXN-17371
beta-L-arabinofuranosyl-(1->2)-beta-L-arabinofuranosyl-(1->2)-beta-L-arabinofuranosyl-(2S,4S)-4-hydroxyproline + H2O  ->  beta-L-arabinofuranosyl-(2S,4S)-4-hydroxyproline + beta-L-arabinofuranosyl-(1->2)-beta-L-arabinofuranose	EC-3.2.1.187	RXN-14092
myxocoxanthin + 2 a reduced two electron carrier + 2 dioxygen  ->  deoxyflexixanthin + 2 an oxidized electron carrier + 3 H2O	EC-1.14.99.63	RXN-19179
(2Z,4E)-2-amino-5-methyl-muconate + H+ + H2O  ->  (E)-5-methyl-2-oxo-3-hex-3-enedioate + ammonium	EC-3.5.99.5	RXN-8840
<i>N</i>1-amidinostreptamine 6-phosphate aminotransferase		RXN-11099
hydrosulfide  <-->  S2- + H+		RXN-22287
bacteriochlorophyll a + 3 NADP+  <-  geranylgeranyl bacteriochlorophyllide a + 3 NADPH + 3 H+	EC-1.3.1.111	RXN-17426
UDP-N-acetyl-alpha-D-glucosamine + a 3-O-[beta-D-GlcA-(1->3)-alpha-D-GlcNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl]-[core protein]  ->  a 3-O-[alpha-D-GlcNAc-(1->4)-beta-D-GlcA-(1->3)-alpha-D-GlcNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl]-[core protein] + UDP + H+	EC-2.4.1.224	2.4.1.224-RXN
beta-D-fructofuranose 6-phosphate + ATP  ->  beta-D-fructose 2,6-bisphosphate + ADP + H+	EC-2.7.1.105	6-PHOSPHOFRUCTO-2-KINASE-RXN
24-methylidenelophenol + 6 a ferrocytochrome b5 + 3 dioxygen + 5 H+  ->  4alpha-carboxy-ergosta-7,24(241)-dien-3beta-ol + 6 a ferricytochrome b5 + 4 H2O	EC-1.14.18.11	RXN-19724
aureobasidin A synthetase	EC-6.3.2	RXN-16640
2 2,4-dibromophenol + 2 a reduced ferredoxin [iron-sulfur] cluster + dioxygen + H+  ->  3,3',5,5'-tetrabromo-2,2'-biphenyldiol + 2 an oxidized ferredoxin [iron-sulfur] cluster + 2 H2O	EC-1.14.19.M18	RXN-19099
dTDP-3-amino-4-oxo-2,3,6-trideoxy-&alpha;-D-glucose methyltransferase	EC-2.1.1	RXN-13667
D-tagatofuranose 1,6-bisphosphate  ->  glycerone phosphate + D-glyceraldehyde 3-phosphate	EC-4.1.2.40	TAGAALDOL-RXN
spinosyn macrolactone + FAD + H+  ->  15-oxo spinosyn macrolactone + FADH2		RXN-13626
3-cyano-L-alanine + H+ + 2 H2O  ->  ammonium + L-aspartate	EC-3.5.5.4	3.5.5.4-RXN
(3R,9Z,12Z,15Z,18Z,21Z)-3-hydroxytetracosapentaenoyl-CoA + NADP+  <-  (9Z,12Z,15Z,18Z,21Z)-3-oxotetracosapentaenoyl-CoA + NADPH + H+	EC-1.1.1.330	RXN-16129
2 carbon tetrachloride + a reduced two electron carrier  ->  2 trichloromethyl radical + 2 chloride + an oxidized electron carrier + 2 H+		RXN-8401
(S)-nornicotine + 2 an oxidized electron carrier + H2O  ->  norcotinine + 2 a reduced two electron carrier + H+		RXN66-103
geranylgeraniol + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  plaunotol + an oxidized [NADPH-hemoprotein reductase] + H2O	EC-1.14.14.146	RXN-10626
UTP + 2 H2O  ->  UMP + 2 phosphate + 2 H+	EC-3.6.1.5	RXN-12199
L-pyrrolysine synthase		RXN-13085
L-homoserine  ->  2-oxobutanoate + ammonium	EC-4.4.1.1	HOMOSERDEAM-RXN
UDP-alpha-D-galactofuranose + alpha-D-GlcNAc-PP-Und  ->  beta-D-Galf-(1->3)-alpha-D-GlcNAc-PP-undecaprenol + UDP + H+	EC-2.4.1	RXN-21874
an acyl-CoA + sphinganine  ->  a dihydroceramide + coenzyme A + H+	EC-2.3.1.24	RXN-7792
an excited state green fluorescent protein  ->  a ground state green fluorescent protein + hnu		RXN-18865
4-trimethylammoniobutanal + NAD+ + H2O  ->  gamma-butyrobetaine + NADH + 2 H+	EC-1.2.1.47	1.2.1.47-RXN
5-ureidoimidazole-4-carboxylate + H2O + 2 H+  ->  5-aminoimidazole-4-carboxylate + CO2 + ammonium	EC-3.5.1	R128-RXN
(1E,3S,4Z)-7-amino-1-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}hepta-1,4-dien-3-ol + FADH2 + dioxygen  ->  (1S,2Z)-5-amino-1-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)pent-2-en-1-ol + FAD + H2O + H+		RXN-18635
UDP-alpha-D-glucose + MMFT-5  ->  UDP + MMFT-6 + H+	EC-2.4.1.M64	RXN-21257
pedunculagin  ->  2 ellagic acid + D-glucopyranose	EC-3.1.1.M1	RXN-16522
UDP-alpha-D-galactose + D-glucopyranose  ->  lactose + UDP + H+	EC-2.4.1.22	LACTOSE-SYNTHASE-RXN
4 2-aminophenol + 3 dioxygen  ->  2 isophenoxazine + 6 H2O	EC-1.10.3.4	O-AMINOPHENOL-OXIDASE-RXN
2 (indol-3-yl)pyruvate + 2 ATP  ->  didemethylasterriquinone D + 2 AMP + 2 diphosphate		RXN-15608
2 2-imino-3-(indol-3-yl)propanoate + hydrogen peroxide  ->  N-[2-(carboxylatoamino)-1,2-bis(1H-indol-3-yl)ethyl]carbamate + 2 H2O	EC-1.21.98.2	RXN-18167
a [50S ribosomal subunit protein L16]-L-arginine81 + 2-oxoglutarate + dioxygen  ->  a [50S ribosomal subunit protein L16]-(3R)-3-hydroxy-L-arginine81 + succinate + CO2	EC-1.14.11.47	RXN0-7090
(+)-dehydrodiconiferyl acid + 2 an electron-transfer quinone + H2O  ->  (+)-dehydrodiconiferyl acid carboxylate + 2 an electron-transfer quinol + H+	EC-1.1.5.i	RXN-18025
13-cis-retinol + NAD+  ->  13-cis-retinal + NADH + H+	EC-1.1.1	RXN-12577
(R)-2-(phosphomethyl)malate  ->  3-phosphonomethylmalate	EC-5.4.99	RXN-15075
