"EC","EC2","ec"
"RXN-20139","RXN-20139","1.17.99.8"
"CATECHOL-2-3-DIOXYGENASE-RXN","CATECHOL-2-3-DIOXYGENASE","1.13.11.2"
"3.1.4.17-RXN","3.1.4.17","3.1.4.17"
"RXN-14563","RXN-14563","2.4.1.309"
"RXN-17139","RXN-17139","1.11.1.16"
"RXN-9358","RXN-9358","2.5.1.74"
"RXN-11561","RXN-11561","2.8.2"
"RXN-14082","RXN-14082","4.2.1.M14"
"RXN-22815","RXN-22815","3.7.1.26"
"RXN-8829","RXN-8829","5.4.4.1"
"RXN-19610","RXN-19610","2.5.1.18"
"6-ENDO-HYDROXYCINEOLE-DEHYDROGENASE-RXN","6-ENDO-HYDROXYCINEOLE-DEHYDROGENASE","1.1.1.241"
"RXN-19089","RXN-19089","1.14.99.59"
"RXN-13609","RXN-13609","4.2.3.134"
"RXN-16119","RXN-16119","2.3.1"
"RXN-8383","RXN-8383","1.14.14.66"
"RXN4FS-21","RXN4FS-21","5.2.1"
"RXN-10616","RXN-10616","2.4.1.17"
"RXN-13074","RXN-13074","5.4.99.58"
"RXN-21865","RXN-21865","2.4.1"
"1.2.1.13-RXN","1.2.1.13","1.2.1.13"
"R103-RXN","R103","4.2.1.108"
"RXN-18624","RXN-18624","2.3.1.107"
"RXN-21247","RXN-21247","1.1.99.37"
"LACTALDDEHYDROG-RXN","LACTALDDEHYDROG","1.2.1.22"
"RXN-15592","RXN-15592","1.14.14"
"RXN-15066","RXN-15066","2.3.1.23"
"RXN-5181","RXN-5181","2.3.1"
"RXN-20682","RXN-20682","1.1.1"
"FUMARATE-REDUCTASE-NADH-RXN","FUMARATE-REDUCTASE-NADH","1.3.1.6"
"RXN-17639","RXN-17639","1.14.13.230"
"RXN-20165","RXN-20165","3.1.6.1"
"CEPHALOSPORIN-C-DEACETYLASE-RXN","CEPHALOSPORIN-C-DEACETYLASE","3.1.1.41"
"RXN-14587","RXN-14587","3.2.1.193"
"RXN-17162","RXN-17162","1.14.14"
"RXN-11578","RXN-11578","2.1.1.170"
"RXN-8849","RXN-8849","2.4.1.269"
"RXN-11105","RXN-11105","2.3.1"
"RXN-19636","RXN-19636","1.14.14.159"
"RXN-22297","RXN-22297","2.4.1"
"2.4.1.234-RXN","2.4.1.234","2.4.1.234"
"6.2.1.33-RXN","6.2.1.33","6.2.1.33"
"RXN-16648","RXN-16648","2.4.1.336"
"TAURINE-AMINOTRANSFERASE-RXN","TAURINE-AMINOTRANSFERASE","2.6.1.77"
"RXN-13633","RXN-13633","2.1.1"
"RXN-16137","RXN-16137","2.3.1.16"
"RXN-8411","RXN-8411","1.14.19.14"
"RXN66-141","RXN66-141","1.1"
"RXN-10632","RXN-10632","4.2.3.43"
"RXN-13094","RXN-13094","6.2.1"
"RXN-21882","RXN-21882","2.4.1"
"RXN-7801","RXN-7801","2.4.1"
"1.2.1.65-RXN","1.2.1.65","1.2.1.65"
"R15-RXN","R15","2.6.1.88"
"RXN-18646","RXN-18646","1.3.1.M14"
"RXN-21275","RXN-21275","1.14.11.72"
"LEUCINE-23-AMINOMUTASE-RXN","LEUCINE-23-AMINOMUTASE","5.4.3.7"
"RXN-15621","RXN-15621","2.5.1"
"RXN-15082","RXN-15082","1.14.11"
"RXN-5402","RXN-5402","1.13.99"
"RXN-9940","RXN-9940","1.5.3.13"
"METHYLMALONYL-COA-DECARBOXYLASE-RXN","METHYLMALONYL-COA-DECARBOXYLASE","4.1.1.94"
"RXN-12089","RXN-12089","1.5.3.17"
"GALACTOSE-OXIDASE-RXN","GALACTOSE-OXIDASE","1.1.3.9"
"RXN-17664","RXN-17664","1.14.18.3"
"RXN-20183","RXN-20183","1.14.11.77"
"CHLORIDAZON-CATECHOL-DIOXYGENASE-RXN","CHLORIDAZON-CATECHOL-DIOXYGENASE","1.13.11.36"
"3.2.1.107-RXN","3.2.1.107","3.2.1.107"
"RXN-9396","RXN-9396","1.14.13.105"
"RXN-11597","RXN-11597","2.1.1.184"
"RXN-14121","RXN-14121","1.1.1"
"RXN-22869","RXN-22869","2.1.1"
"RXN-11130","RXN-11130","2.3.1"
"RXN-19662","RXN-19662","4.2.1.M18"
"2.4.1.40-RXN","2.4.1.40","2.4.1.40"
"6PFRUCTPHOS-RXN","6PFRUCTPHOS","2.7.1.11"
"RXN-19128","RXN-19128","2.3.1.M47"
"TETRAHYDROBERBERINE-OXIDASE-RXN","TETRAHYDROBERBERINE-OXIDASE","1.3.3.8"
"RXN-13649","RXN-13649","5.4.3.11"
"RXN-16153","RXN-16153","2.3.1.199"
"RXN-8428","RXN-8428","4.2.3"
"RXN66-169","RXN66-169","1.14.14.1"
"RXN-10650","RXN-10650","1.14.99.M6"
"RXN-13112","RXN-13112","2.3.1.198"
"RXN-21897","RXN-21897","2.4.1"
"RXN-7822","RXN-7822","2.3.1"
"1.3.1.2-RXN","1.3.1.2","1.3.1.2"
"RXN-18663","RXN-18663","2.7.1.232"
"LINAMARIN-SYNTHASE-RXN","LINAMARIN-SYNTHASE","2.4.1.63"
"RXN0-7250","RXN0-7250","3.1.3"
"RXN-12610","RXN-12610","2.5.1.3"
"RXN-12400","RXN-12400","3.2.1.23"
"RXN-15112","RXN-15112","1.14.19.5"
"RXN-5471","RXN-5471","2.4.1.265"
"RXN-9978","RXN-9978","1.14.16.2"
"MOXXANAU-RXN","MOXXANAU","1.1.2.7"
"3.2.1.120-RXN","3.2.1.120","3.2.1.120"
"RXN-20721","RXN-20721","1.14.14.173"
"RXN-15910","RXN-15910","3.2.1.20"
"GAPDHSYNEC-RXN","GAPDHSYNEC","1.2.1.59"
"RXN-20214","RXN-20214","2.8.2.15"
"3.2.1.135-RXN","3.2.1.135","3.2.1.135"
"RXN-14749","RXN-14749","2.1.1"
"RXN-14645","RXN-14645","1.14.17"
"RXN-12399","RXN-12399","3.2.1.23"
"RXN-17208","RXN-17208","2.1.1.M12"
"RXN-12420","RXN-12420","3.2.1.176"
"RXN-11619","RXN-11619","1.2.1.94"
"RXN-14146","RXN-14146","4.1.2"
"RXN-22887","RXN-22887","3.2.1.62"
"RXN-15909","RXN-15909","3.2.1.2"
"RXN-8909","RXN-8909","4.4.1.4"
"RXN-11152","RXN-11152","3.1.1"
"RXN-19679","RXN-19679","2.4.1"
"2.4.1.82-RXN","2.4.1.82","2.4.1.82"
"ACETOACETATE-DECARBOXYLASE-RXN","ACETOACETATE-DECARBOXYLASE","4.1.1.4"
"RXN-12398","RXN-12398","3.2.1.23"
"THIOETHER-S-METHYLTRANSFERASE-RXN","THIOETHER-S-METHYLTRANSFERASE","2.1.1.96"
"RXN-12402","RXN-12402","3.2.1.177"
"RXN-13673","RXN-13673","2.5.1.18"
"RXN-16169","RXN-16169","1.1.1"
"RXN-8444","RXN-8444","3.2.2.M4"
"RXN-15908","RXN-15908","3.2.1"
"RXN66-241","RXN66-241","2.1.1.28"
"3.2.1.136-RXN","3.2.1.136","3.2.1.136"
"RXN-10683","RXN-10683","4.1.1.90"
"RXN-13137","RXN-13137","3.2.1.182"
"RXN-21913","RXN-21913","2.4.1"
"1.3.1.71-RXN","1.3.1.71","1.3.1.71"
"R229-RXN","R229","3.1.3.71"
"RXN-18682","RXN-18682","2.4.1.M23"
"RXN-21311","RXN-21311","1.1.1.423"
"LONG-CHAIN-ALCOHOL-DEHYDROGENASE-RXN","LONG-CHAIN-ALCOHOL-DEHYDROGENASE","1.1.1.192"
"3.5.1.60-RXN","3.5.1.60","3.5.1.60"
"RXN-12633","RXN-12633","5.3.99.12"
"RXN-12599","RXN-12599","1.14.13"
"RXN-5821","RXN-5821","1.4.3.4"
"RXN-9999","RXN-9999","2.6.1.92"
"MYOSIN-LIGHT-CHAIN-PHOSPHATASE-RXN","MYOSIN-LIGHT-CHAIN-PHOSPHATASE","3.1.3.53"
"RXN-20737","RXN-20737","3.7.1"
"RXN-23477","RXN-23477","1.11.1.12"
"GENTISATE-DECARBOXYLASE-RXN","GENTISATE-DECARBOXYLASE","4.1.1.62"
"RXN-17701","RXN-17701","3.2.1.199"
"RXN-20230","RXN-20230","2.3.1.26"
"CINNAMYL-ALCOHOL-DEHYDROGENASE-RXN","CINNAMYL-ALCOHOL-DEHYDROGENASE","1.1.1.195"
"3.2.1.155-RXN","3.2.1.155","3.2.1.155"
"RXN-14677","RXN-14677","1.14.14"
"RXN-11640","RXN-11640","1.3.1.M28"
"RXN-14164","RXN-14164","2.1.1.280"
"RXN-22903","RXN-22903","2.4.1"
"RXN-11260","RXN-11260","1.14.14"
"RXN-19699","RXN-19699","2.4.1.365"
"RXN-22381","RXN-22381","1.7.1.M3"
"2.4.99.11-RXN","2.4.99.11","2.4.3.1"
"RXN-16731","RXN-16731","2.7.1.190"
"RXN-19174","RXN-19174","2.4.1.M35"
"THYM-PHOSPH-RXN","THYM-PHOSPH","2.4.2.2 // EC-2.4.2.4"
"RXN-13695","RXN-13695","3.2.1.149"
"RXN-16191","RXN-16191","4.1.99"
"RXN-8471","RXN-8471","2.4.1.271"
"RXN-10703","RXN-10703","1.1.1"
"RXN-13157","RXN-13157","3.7.1"
"RXN-21930","RXN-21930","2.4.1"
"RXN-7893","RXN-7893","1.13.11.71"
"1.5.1.15-RXN","1.5.1.15","1.5.1.15"
"R281-RXN","R281","6.2.1"
"RXN-21327","RXN-21327","2.4.1"
"LYSINE-DEHYDROGENASE-RXN","LYSINE-DEHYDROGENASE","1.4.1.15"
"RXN-10623","RXN-10623","2.5.1"
"RXN-15694","RXN-15694","2.3.1.238"
"RXN-18228","RXN-18228","4.8.1.e"
"RXN0-7385","RXN0-7385","1.6.5.10"
"3.5.1.88-RXN","3.5.1.88","3.5.1.88"
"RXN-15187","RXN-15187","3.5.1"
"RXN-6201","RXN-6201","4.1.1.97"
"RXN0-1602","RXN0-1602","3.6.1.66"
"N-CARBAMOYLSARCOSINE-AMIDASE-RXN","N-CARBAMOYLSARCOSINE-AMIDASE","3.5.1.59"
"RXN-12151","RXN-12151","1.7.1"
"RXN-20753","RXN-20753","3.5.1.134"
"RXN-12597","RXN-12597","1.13.12"
"RXN-23494","RXN-23494","1.14.14"
"GLUCONOKIN-RXN","GLUCONOKIN","2.7.1.12"
"RXN-13560","RXN-13560","3.5.4"
"RXN-17724","RXN-17724","3.1.3"
"RXN-20255","RXN-20255","1.1.1"
"COENZYME-F420-HYDROGENASE-RXN","COENZYME-F420-HYDROGENASE","1.12.98.1"
"3.2.1.26-RXN","3.2.1.26","3.2.1"
"RXN-17258","RXN-17258","2.3.1.282"
"RXN-11661","RXN-11661","1.10.3"
"RXN-14182","RXN-14182","2.4.1"
"RXN-12602","RXN-12602","1.14.13"
"RXN-22921","RXN-22921","2.3.1"
"RXN-22412","RXN-22412","1.3.1.M28"
"RXN-16750","RXN-16750","2.7.1.166"
"RXN-19192","RXN-19192","6.2.1.2"
"TRANS-CINNAMATE-4-MONOOXYGENASE-RXN","TRANS-CINNAMATE-4-MONOOXYGENASE","1.14.14.91"
"RXN-13726","RXN-13726","2.1.1.9"
"RXN-16210","RXN-16210","2.3.1"
"RXN-10724","RXN-10724","1.14.14.8"
"RXN-13179","RXN-13179","1.1.1.262"
"RXN-21946","RXN-21946","2.4.1"
"RXN-7933","RXN-7933","3.5.1.16"
"1.5.99.9-RXN","1.5.99.9","1.5.98.1"
"RXN-22356","RXN-22356","1.7.99"
"RXN-18724","RXN-18724","2.4.1.360"
"RXN-21344","RXN-21344","2.8.3.25"
"RXN-11262","RXN-11262","1.14.14"
"RXN66-342","RXN66-342","1.1.1.145"
"MALEYLACETATE-REDUCTASE-RXN","MALEYLACETATE-REDUCTASE","1.3.1.32"
"RXN-18245","RXN-18245","2.4.1.37"
"RXN-12683","RXN-12683","1.14.14"
"NADH-PEROXIDASE-RXN","NADH-PEROXIDASE","1.11.1.1"
"RXN-12172","RXN-12172","3.2.1.171"
"RXN-20777","RXN-20777","3.1.1.38"
"GLUCOSYLOXYDOCOSANOATE-TRANS-RXN","GLUCOSYLOXYDOCOSANOATE-TRANS","2.4.1.158"
"RXN-17744","RXN-17744","1.2.1.84"
"RXN-20300","RXN-20300","4.3.3"
"CROTCOALIG-RXN","CROTCOALIG","3.1.2"
"3.2.1.53-RXN","3.2.1.53","3.2.1.53"
"RXN-17281","RXN-17281","2.1.1.M15"
"RXN-9461","RXN-9461","2.4.2.39"
"RXN-11681","RXN-11681","1.14.19.38"
"RXN-14207","RXN-14207","2.7.1.40"
"RXN-11219","RXN-11219","1.13.11.2"
"ADDALT-RXN","ADDALT","3.5.4.4"
"RXN-13748","RXN-13748","1.1.1.354"
"RXN-16233","RXN-16233","1.11.2"
"RXN-12600","RXN-12600","1.13.12"
"RXN-8504","RXN-8504","4.2.1.M18"
"RXN-13210","RXN-13210","3.5.1"
"RXN-16717","RXN-16717","2.3.1"
"RXN-21962","RXN-21962","2.4.1"
"RXN-7970","RXN-7970","1.1.1.87 // EC-1.1.1.286"
"1.8.4.4-RXN","1.8.4.4","1.8.4.4"
"RXN-18745","RXN-18745","4.2.1"
"RXN66-359","RXN66-359","1.14.15.4"
"MANDELATE-DEHYDROGENASE-RXN","MANDELATE-DEHYDROGENASE","1.1.99.31"
"RXN-15736","RXN-15736","1.5.1"
"RXN-18262","RXN-18262","2.8.2"
"RXN18C3-15","RXN18C3-15","3.2.1"
"RXN-12704","RXN-12704","4.2.1"
"RXN-645","RXN-645","4.2.1"
"RXN-22354","RXN-22354","1.7.99"
"NICOTINATE-DEHYDROGENASE-RXN","NICOTINATE-DEHYDROGENASE","1.17.2.1"
"RXN-12193","RXN-12193","2.4.1.25"
"RXN-11261","RXN-11261","2.1.1"
"RXN-20799","RXN-20799","5.1.3"
"GLUTAMINE--TRNA-LIGASE-RXN","GLUTAMINE--TRNA-LIGASE","6.1.1.18"
"RXN-17773","RXN-17773","1.1.1.162"
"RXN-20338","RXN-20338","4.2.1.134"
"CYCLOPENTANONE-MONOOXYGENASE-RXN","CYCLOPENTANONE-MONOOXYGENASE","1.14.13.16"
"3.2.1.74-RXN","3.2.1.74","3.2.1.74"
"RXN-14727","RXN-14727","3.5.1.4"
"RXN-17311","RXN-17311","2.4.1.M6"
"RXN-9484","RXN-9484","1.1.1.352"
"RXN-11705","RXN-11705","2.4.1"
"RXN-14228","RXN-14228","2.7.4.6"
"RXN-22971","RXN-22971","5.3.1.37"
"RXN-19763","RXN-19763","3.2.1.M19"
"ADENYLYLSULFATE-REDUCTASE-RXN","ADENYLYLSULFATE-REDUCTASE","1.8.99.2"
"2.6.1.14-RXN","2.6.1.14","2.6.1.14"
"RXN-16790","RXN-16790","2.4.2.55"
"RXN-12259","RXN-12259","1.13.12"
"TRIMETAPHOSPHATASE-RXN","TRIMETAPHOSPHATASE","3.6.1.2"
"RXN-13773","RXN-13773","1.1.1"
"RXN-16249","RXN-16249","3.2.1.40"
"RXN-8520","RXN-8520","1.14.13"
"RXN-13235","RXN-13235","2.1.1"
"RXN-21978","RXN-21978","1.1.1.64"
"RXN-7997","RXN-7997","2.3.1"
"13-BETA-GLUCAN-SYNTHASE-RXN","13-BETA-GLUCAN-SYNTHASE","2.4.1.34"
"RXN-18763","RXN-18763","3.2.1.147"
"RXN66-483","RXN66-483","6.2.1.3"
"MCHMBARK-RXN","MCHMBARK","3.5.4.27"
"RXN-15756","RXN-15756","4.2.1"
"RXN-18280","RXN-18280","2.4.3.8"
"RXN18C3-25","RXN18C3-25","2.3.1"
"RXN-12723","RXN-12723","4.2.1.131"
"RXN-15245","RXN-15245","2.5.1.118"
"RXN-6549","RXN-6549","1.14.14"
"NUCLEOSIDE-DIP-KIN-RXN","NUCLEOSIDE-DIP-KIN","2.7.4.6"
"RXN-12218","RXN-12218","3.1.3"
"RXN-20872","RXN-20872","5.3.3"
"GLUTSEMIALDEHYDROG-RXN","GLUTSEMIALDEHYDROG","1.2.1.41"
"RXN-17790","RXN-17790","1.1.1.35"
"RXN-20354","RXN-20354","6.2.1.M34"
"RXN0-305","RXN0-305","5.3.1.22"
"CYTIDEAM-RXN","CYTIDEAM","3.5.4.5"
"3.2.1.95-RXN","3.2.1.95","3.2.1.95"
"RXN-17329","RXN-17329","1.14.13.211"
"RXN-9502","RXN-9502","1.14.14.117"
"RXN-14251","RXN-14251","3.1.2"
"RXN-22997","RXN-22997","1.3.8.7"
"RXN-11263","RXN-11263","2.1.1"
"RXN-19791","RXN-19791","3.2.1"
"RXN-22484","RXN-22484","2.4.1.182"
"AIRS-RXN","AIRS","6.3.3.1"
"2.6.1.57-RXN","2.6.1.57","2.6.1.57"
"RXN-16810","RXN-16810","1.1.3"
"RXN-19250","RXN-19250","1.5.1.21"
"RXN-9011","RXN-9011","1.11.1.23"
"TRYPTOPHAN--TRNA-LIGASE-RXN","TRYPTOPHAN--TRNA-LIGASE","6.1.1.2"
"RXN-13796","RXN-13796","2.1.1"
"RXN-16265","RXN-16265","1.3.1.aa"
"RXN-8536","RXN-8536","1.14.14"
"RXN-13269","RXN-13269","2.7.8.36"
"RXN-21995","RXN-21995","3.2.1.M27"
"2-CHLOROBENZOATE-12-DIOXYGENASE-RXN","2-CHLOROBENZOATE-12-DIOXYGENASE","1.14.12.13"
"R621-RXN","R621","1.14.12.17"
"RXN-18786","RXN-18786","4.2.3.159"
"RXN-21420","RXN-21420","2.5.1.153"
"RXN66-500","RXN66-500","1.13.11.34"
"RXN-15773","RXN-15773","2.2.1"
"RXN-18299","RXN-18299","2.4.3.4"
"RXN-8014","RXN-8014","1.2.1"
"RXN18C3-40","RXN18C3-40","2.3.1"
"RXN-12743","RXN-12743","1.3.99"
"RXN-15270","RXN-15270","2.4.3.3"
"RXN-668","RXN-668","3.7.1"
"OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN","OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH","1.14.99.60"
"RXN-12237","RXN-12237","4.1.99.16"
"RXN-20892","RXN-20892","1.1.1"
"RXN-2981","RXN-2981","3.5.1.M7"
"GLYCERYL-ETHER-MONOOXYGENASE-RXN","GLYCERYL-ETHER-MONOOXYGENASE","1.14.16.5"
"RXN-17811","RXN-17811","1.14.11.53"
"RXN-20371","RXN-20371","2.3.1.297"
"RXN0-3543","RXN0-3543","3.6.1"
"D-ARABINOSE-1-DEHYDROGENASE-RXN","D-ARABINOSE-1-DEHYDROGENASE","1.1.1.116"
"3.3.2.9-RXN","3.3.2.9","3.3.2.9"
"RXN-14773","RXN-14773","1.1.1.M19"
"RXN-17348","RXN-17348","2.1.1.330"
"RXN-14268","RXN-14268","2.3.1.16"
"RXN-23018","RXN-23018","3.4.13.19"
"RXN-19812","RXN-19812","2.7.2.18"
"RXN-22502","RXN-22502","2.4.1.56"
"ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN","ALCOHOL-DEHYDROGENASE-NADPORNOP+","1.1.1.2"
"2.7.1.143-RXN","2.7.1.143","2.7.1.143"
"RXN-16827","RXN-16827","1.14.20"
"RXN-19267","RXN-19267","1.14.14"
"RXN-9031","RXN-9031","5.3.3.17"
"TYROSINE-AMINOTRANSFERASE-RXN","TYROSINE-AMINOTRANSFERASE","2.6.1.1 // EC-2.6.1.57 // EC-2.6.1.5 // EC-2.6.1.27"
"RXN-13813","RXN-13813","2.4.1"
"RXN-16286","RXN-16286","2.7.8.42"
"RXN-8554","RXN-8554","4.2.3"
"RXN-10821","RXN-10821","2.3.1.192"
"RXN-13290","RXN-13290","6.2.1.3"
"RXN-22014","RXN-22014","1.1.1.239"
"2-METHYLCITRATE-DEHYDRATASE-RXN","2-METHYLCITRATE-DEHYDRATASE","4.2.1.79"
"RHAMNULOKIN-RXN","RHAMNULOKIN","2.7.1.5"
"RXN-21448","RXN-21448","6.2.1.3"
"RXN66-526","RXN66-526","3.1.3.58 // EC-3.1.3.9"
"RXN-15793","RXN-15793","2.7.1"
"RXN-18315","RXN-18315","2.4.1.M19"
"RXN-8030","RXN-8030","1.14.99"
"RXN18C3-57","RXN18C3-57","2.4.1"
"RXN-12759","RXN-12759","1.13.11.61"
"RXN-15299","RXN-15299","1.1.1.373"
"RXN-6762","RXN-6762","2.3.1.224"
"ORNITHINE-RACEMASE-RXN","ORNITHINE-RACEMASE","5.1.1.10 // EC-5.1.1.12"
"RXN-20914","RXN-20914","2.3.1.251"
"GLYCOPHOSPHORYL-RXN","GLYCOPHOSPHORYL","2.4.1.1"
"RXN-17844","RXN-17844","2.5.1.38"
"RXN-20387","RXN-20387","2.3.1.298"
"RXN0-4121","RXN0-4121","3.9.1"
"RXN-14789","RXN-14789","1.3.3.6"
"RXN-17372","RXN-17372","4.2.3.154"
"RXN-9588","RXN-9588","3.2.1"
"RXN-11758","RXN-11758","2.1.1.64"
"RXN-14286","RXN-14286","2.4.1.1"
"RXN-23041","RXN-23041","1.14.11"
"D-LYXOSE-KETOL-ISOMERASE-RXN","D-LYXOSE-KETOL-ISOMERASE","5.3.1.15"
"RXN-11306","RXN-11306","3.1.3"
"ALIZARIN-2-BETA-GLUCOSYLTRANSFERASE-RXN","ALIZARIN-2-BETA-GLUCOSYLTRANSFERASE","2.4.1.103"
"2.7.1.79-RXN","2.7.1.79","2.7.1.79"
"RXN-19285","RXN-19285","1.14.20.14"
"UDPACYLGLCNACDEACETYL-RXN","UDPACYLGLCNACDEACETYL","3.5.1.108"
"RXN-13839","RXN-13839","1.14.11"
"RXN-22517","RXN-22517","1.14.13"
"RXN-8573","RXN-8573","4.2.3"
"RXN-10837","RXN-10837","2.3.1.183"
"RXN-13307","RXN-13307","1.3.1.93"
"RXN-22033","RXN-22033","2.4.99"
"2.1.1.103-RXN","2.1.1.103","2.1.1.103"
"RIBOSYLHOMOCYSTEINASE-RXN","RIBOSYLHOMOCYSTEINASE","4.4.1.21"
"RXN-21477","RXN-21477","6.2.1"
"RXN66-61","RXN66-61","1.14.19"
"RXN-15812","RXN-15812","2.5.1"
"RXN-18338","RXN-18338","1.14.99.58"
"RXN1A0-6108","RXN1A0-6108","1.3.8.14"
"RXN-12780","RXN-12780","6.2.1"
"RXN-15318","RXN-15318","2.3.1"
"RXN-7065","RXN-7065","2.4.1"
"OXALYL-COA-DECARBOXYLASE-RXN","OXALYL-COA-DECARBOXYLASE","4.1.1.8"
"RXN-12277","RXN-12277","3.1.3"
"RXN-20934","RXN-20934","2.7.1.231"
"GLYOXYLATE-REDUCTASE-NADP+-RXN","GLYOXYLATE-REDUCTASE-NADP+","1.1.1.79"
"RXN-17871","RXN-17871","2.3.1.258"
"RXN-20403","RXN-20403","2.3.1.24"
"RXN-14805","RXN-14805","4.2.1.119"
"RXN-17392","RXN-17392","4.2.2.f"
"RXN-11777","RXN-11777","3.1.3"
"RXN-14318","RXN-14318","1.14.11"
"RXN-23123","RXN-23123","2.7.7.67"
"DAPASYN-RXN","DAPASYN","2.6.1.62"
"RXN-19870","RXN-19870","1.1.1.M50"
"ALLOSE-KINASE-RXN","ALLOSE-KINASE","2.7.1.55"
"2.7.7.11-RXN","2.7.7.11","2.7.7.11"
"RXN-16870","RXN-16870","1.8.3.M1"
"RXN-19301","RXN-19301","2.4.2.21"
"RXN-9073","RXN-9073","1.10.3"
"URACIL-PRIBOSYLTRANS-RXN","URACIL-PRIBOSYLTRANS","2.4.2.9"
"RXN-13856","RXN-13856","1.13.11.73"
"RXN-16343","RXN-16343","1.14.19"
"RXN-22539","RXN-22539","2.1.1.381"
"RXN-8589","RXN-8589","4.2.3"
"RXN-13328","RXN-13328","2.6.1.96"
"RXN-22049","RXN-22049","2.4.99"
"2.1.1.126-RXN","2.1.1.126","2.1.1.321"
"3.5.2.17-RXN","3.5.2.17","3.5.2.17"
"RXN-10000","RXN-10000","2.3.1.202"
"RXN-18850","RXN-18850","5.1.99.M3"
"RXN66-83","RXN66-83","2.4.1.17"
"RXN-15846","RXN-15846","2.1.1.313"
"RXN-18360","RXN-18360","5.5.1.11"
"RXN-8084","RXN-8084","1.14.14.134"
"RXN1F-150","RXN1F-150","5.5.1.19"
"RXN-12803","RXN-12803","2.4.1"
"RXN-15336","RXN-15336","2.3.1"
"RXN-21496","RXN-21496","1.1.1"
"RXN-716","RXN-716","1.14.14.147"
"1.1.1.13-RXN","1.1.1.13","1.1.1.13"
"PENICILLIN-AMIDASE-RXN","PENICILLIN-AMIDASE","3.5.1.11"
"RXN-12302","RXN-12302","3.2.1.41"
"GTPPYPHOSKIN-RXN","GTPPYPHOSKIN","2.7.6.5"
"RXN-17888","RXN-17888","2.3.2.8"
"RXN-20421","RXN-20421","1.3.1.120"
"RXN-14820","RXN-14820","1.14.11.43"
"RXN-17410","RXN-17410","1.1.1.52"
"RXN-3591","RXN-3591","3.2.1.62"
"RXN-9631","RXN-9631","1.14.14"
"RXN-11796","RXN-11796","2.3.1.304"
"RXN-14347","RXN-14347","1.1.1.371"
"DEHYDDEOXGALACTKIN-RXN","DEHYDDEOXGALACTKIN","2.7.1.178 // EC-2.7.1.58"
"RXN-11349","RXN-11349","3.4.16"
"RXN-19898","RXN-19898","4.2.1.175"
"AMINE-N-METHYLTRANSFERASE-RXN","AMINE-N-METHYLTRANSFERASE","2.1.1.49"
"2.7.7.46-RXN","2.7.7.46","2.7.7.46"
"RXN-19319","RXN-19319","3.1.3.73"
"RXN-9092","RXN-9092","6.2.1.40"
"URONOLACTONASE-RXN","URONOLACTONASE","3.1.1.19"
"RXN-13877","RXN-13877","2.1.1"
"RXN-8607","RXN-8607","4.2.3"
"RXN-22065","RXN-22065","2.7.7.69"
"2.1.1.155-RXN","2.1.1.155","2.1.1.155"
"3.6.1.52-RXN","3.6.1.52","3.6.1.52"
"RXN-18881","RXN-18881","1.14.14.61"
"RXN8J2-2","RXN8J2-2","3.5.1.M15"
"RXN-15893","RXN-15893","5.5.1.25"
"RXN-18381","RXN-18381","1.3.3.M3"
"RXN-8134","RXN-8134","3.2.1.147"
"RXN1F-443","RXN1F-443","2.4.1"
"RXN-12824","RXN-12824","4.2.3.90"
"RXN-15358","RXN-15358","2.4.1.230"
"RXN-7226","RXN-7226","2.5.1"
"1.1.1.188-RXN","1.1.1.188","1.1.1.188"
"PGLUCISOM-RXN","PGLUCISOM","5.3.1.9"
"RXN-12325","RXN-12325","2.7.1.216"
"RXN-20983","RXN-20983","3.2.1.M23"
"H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN","H2NEOPTERINP3PYROPHOSPHOHYDRO","3.6.1.67"
"RXN0-5141","RXN0-5141","1.1.1.91"
"RXN-14837","RXN-14837","2.4.1.310"
"RXN-17433","RXN-17433","4.2.1.169"
"RXN-3763","RXN-3763","1.14.19.63"
"RXN-9670","RXN-9670","2.3.1.23"
"RXN-11813","RXN-11813","1.11.1.19"
"RXN-14371","RXN-14371","2.4.1.18"
"RXN-20435","RXN-20435","1.1.1.270"
"RXN-23158","RXN-23158","1.3.8.14"
"DEOXYLIMONATE-A-RING-LACTONASE-RXN","DEOXYLIMONATE-A-RING-LACTONASE","3.1.1.46"
"RXN-19916","RXN-19916","4.1.2.13"
"AMP-DEAMINASE-RXN","AMP-DEAMINASE","3.5.4.17 // EC-3.5.4.6"
"2.7.8.27-RXN","2.7.8.27","2.7.8.27"
"RXN-16926","RXN-16926","1.1.1"
"RXN-9138","RXN-9138","2.5.1.M1"
"VOMIFOLIOL-4-DEHYDROGENASE-RXN","VOMIFOLIOL-4-DEHYDROGENASE","1.1.1.221"
"RXN-13894","RXN-13894","5.3.3"
"RXN-16404","RXN-16404","1.2.1.84"
"RXN-22597","RXN-22597","2.5.1.M27"
"RXN-13383","RXN-13383","2.3.1"
"RXN-22080","RXN-22080","2.4.1"
"2.1.1.69-RXN","2.1.1.69","2.1.1.69"
"3OHSTEROXRED-RXN","3OHSTEROXRED","1.1.1.395"
"RXN-10046","RXN-10046","3.5.1.97"
